t,x,y
0,30.1642178,29.96475047
1,38.46153846,24.62175146
2,48.91961971,32.50656553
3,53.673293,31.15784733
4,64.21780467,32.24719664
5,75.02160761,35.4633708
6,78.39239412,51.02550383
7,78.56525497,56.93911438
8,68.28003457,66.2763942
9,50.12964564,70.32254879
10,40.36300778,77.27363487
11,32.41140882,72.9681114
12,25.49697494,74.26495582
13,19.36041487,63.68270536
14,19.79256698,57.5615997
15,13.82886776,55.3310273
16,15.38461538,45.94187371
17,14.77960242,41.74009779
18,22.38547969,34.73713793
19,19.61970614,28.92727493
20,27.05272256,29.60163403
21,32.75713051,26.69670253
22,37.94295592,27.16356652
23,52.2039758,26.5410812
24,61.62489196,31.78033265
