t,x,y
0,34.22126401,60.33470132
1,38.55562145,65.96185744
2,46.073624,75.60231441
3,54.57281329,93.92413541
4,65.27606456,122.6146885
5,74.99652549,161.6590221
6,83.25242261,196.0278165
7,89.3010505,225.7235638
8,86.7799298,254.7446131
9,82.0547471,263.3786299
10,76.10668913,259.3129979
11,71.62479859,247.2245022
12,66.65472012,229.1185472
13,60.95155793,210.0111359
14,55.9846867,192.9128671
15,51.01140098,172.1317935
16,46.52951044,153.6940964
17,43.03522111,135.5906333
18,39.53932816,119.4913288
19,36.28352013,104.3947264
20,34.49548314,94.31288109
21,33.44854796,86.90490838
22,32.64650856,77.49028525
23,32.09257218,72.09270089
